"Year","Electricity_kWh","Natural_Gas_m3","RE_Share_in_percent","Duriation (in days)","Number_of_visitors_in _Mil","NG_energy_TJ","Elect_energy_TJ","Elect_emissions_tCo2","NG_emission_100","NG_emission_20","NG_emission_No_leak","Coal_Share","Gas_Share","Hydro_Share","Nuclear_Share","Oil_Share","OtherRENE_Share","Solar_Share","Wind_Share","RENE_Share","RENE_Wind_Share","RENE_Solar_Share","RENE_Hydro_Share","RENE_Other_Share","Low_Carbon_EF","Fossil_EF","HighC_EF","RENE_EF","Stdized_Elect_emissions"
2019,2840000,185000,100,16,6.3,6.66,10.224,36.92,418.461712,504.6810064,366.3,0.287844430400548,0.152468194556374,0.0335070215173114,0.12613432462636,0.0247614945337036,0.0848411609010394,0.078884330191794,0.21155904327287,0.408791555883015,0.517523026658145,0.192969568614007,0.0819660314287417,0.207541373299107,13.2173217485571,166.088983459904,208.949763842472,11.3178397894442,3.61111111111111
2018,2925157,200937,100,16,6.3,7.233732,10.5305652,38.027041,454.5104920224,548.15722909728,397.85526,0.363919674769259,0.131575547726399,0.0286881520125167,0.121215915126132,0.0247104869051246,0.081457605330773,0.0730333763423025,0.175399241787493,0.358578375473085,0.489151755334054,0.20367479284256,0.0800052484332537,0.227168203390132,13.6085980583931,177.749662388784,217.290993980464,11.5734309927397,3.61111111111111
2017,3247385,223156,100,18,6.2,8.033616,11.690586,42.216005,504.7688746112,608.77078196864,441.84888,0.379060768934436,0.136058061630945,0.0316517532129667,0.119723168353832,0.025626859638555,0.0802424892978245,0.0618138737282525,0.165823025203189,0.339531141442233,0.48838826535563,0.182056566197977,0.0932219444688313,0.236333223977562,13.368339402614,179.483353225106,217.43812466892,11.2683337774307,3.61111111111111
2016,2708001,197790,100,17,5.9,7.12044,9.7488036,35.204013,447.392119008,539.5721959776,391.6242,0.412822334077016,0.12821259586234,0.0323718440155876,0.133469052821677,0.026298846776603,0.0806040015926695,0.0600947497955856,0.126126575058522,0.299197170462364,0.421550026237253,0.200853335954742,0.1081956890353,0.269400948772704,14.2116333150771,179.838178321109,220.251185430362,11.7266522555629,3.61111111111111
2015,2887032,233846,100,16,5.9,8.418456,10.3933152,37.531416,528.9491756992,637.93316012224,463.01508,0.430895785567685,0.0981735084012748,0.0300591545758936,0.145309693065883,0.0267592484146488,0.0799096687673977,0.0612831546864028,0.127609786520815,0.298861764550509,0.426985990371639,0.20505518589363,0.100578789732781,0.26738003400195,14.416104889719,180.441730886668,225.508474164629,11.7807480130421,3.61111111111111
2014,3007610,225902,100,16,6.3,8.132472,10.827396,39.09893,510.9802035904,616.26188490688,447.28596,0.448795074404855,0.0999548513046508,0.0320456592528885,0.158832780937994,0.0265428664292429,0.0791469384236327,0.0590063180130768,0.0956755112336597,0.265874426923258,0.359852251834945,0.221933033183776,0.120529302587414,0.297685412393866,15.2128864630022,178.772612819809,225.905942716097,12.2002550143092,3.61111111111111
2013,3056207,243437,100,16,6.4,8.763732,11.0023452,39.730691,550.6435880224,664.09746029728,482.00526,0.462809426311775,0.108409008792003,0.0369328355212975,0.156240716206993,0.027940101971175,0.0732209241639568,0.049789232807419,0.0846577542253803,0.244600746718054,0.346105869917738,0.203553069544837,0.150992325317262,0.299348735220163,15.071253327309,180.214465447578,225.107811229247,11.9313441964999,3.61111111111111
2012,2730083,220915,100,16,6.4,7.95294,9.8282988,35.491079,499.699833008,602.6573217776,437.4117,0.451641435357711,0.124556346247215,0.0357661077461941,0.162133169222665,0.0282168431720145,0.0705122824676643,0.0430105984699049,0.0841632173166309,0.233452206000394,0.360515836447006,0.184237275829522,0.153205267831711,0.302041619891761,14.9294646894961,177.054995842758,222.388801027788,11.6278442710593,3.61111111111111
2011,2972463,201516,62,17,6.9,7.254576,10.7008668,719.559874638639,455.8201640832,549.73674424704,399.00168,0.439208216477502,0.144092837937311,0.0295936883158827,0.180689123267471,0.028408783683348,0.0617518742464124,0.032795261856625,0.0834602142154478,0.207601038634368,0.402022141914425,0.157972532663407,0.142550771954489,0.297454553467679,14.9180202253387,171.06381632429,219.213801642871,11.1694027902832,67.243139092119
2010,3068000,240000,62,17,6.4,8.64,11.0448,698.984418144686,542.869248,654.7213056,475.2,0.426275211828285,0.144789019733617,0.0340123507485466,0.227940230425914,0.0304346208161618,0.0550090772837498,0.0189944787187495,0.062545010444977,0.170560917196023,0.366701888528748,0.111364778232984,0.199414680148892,0.322518653089376,15.1651025569399,160.651056116116,218.477689404304,10.5573738201482,63.286290213013
2009,2600000,160000,61,16,5.7,5.76,9.36,608.560356531449,361.912832,436.4808704,316.8,0.434983690235283,0.13882177051557,0.0326324001438774,0.231528642308189,0.0306889228141758,0.0529456423548664,0.0113116386920338,0.0670872929360048,0.163976974126782,0.409126301380185,0.0689830919997823,0.199005990430382,0.322884616189651,14.5796845291259,161.062447000726,219.665932497437,9.86396934503419,65.0171321080608
2008,2630676,244295,61,16,6,8.79462,9.4704336,612.954516991319,552.584345584,666.4380889648,483.7041,0.439807919240166,0.142364968785598,0.0326359261593692,0.237781284399447,0.0302651210540918,0.0445951077194118,0.00704769161730619,0.0655019810246097,0.149780706520697,0.43731921517915,0.0470534008085503,0.217891388800864,0.297735995211436,14.3578508014942,160.308165477839,219.420795007285,9.41551798396628,64.7229623141351
2007,2700000,2e+05,61,16,6.2,7.2,9.72,653.34013029336,452.39104,545.601088,396,0.475931731617466,0.125069742608725,0.0339353957976144,0.225093819126879,0.031559781930501,0.0392171719558382,0.00494585827020389,0.0642464986927716,0.142344924716428,0.451343796210227,0.0347455891388946,0.238402569429283,0.275508045221595,14.0731346692918,166.700730793859,223.153837956016,9.1382828182796,67.2160627873828
2006,2961629,198489,60,18,6.5,7.145604,10.6618644,696.811096565021,448.9732256928,541.47907178016,393.00822,0.463173420591154,0.120687702717313,0.0320641075381207,0.268284299162207,0.032336995264897,0.0301341782140384,0.0035423311375956,0.0497769653746748,0.11551758226443,0.43090380181894,0.0306648656261426,0.277569067059621,0.260862265495297,14.6739946824305,157.971993708019,223.243576548529,9.0430189598752,65.3554641498743
2005,2866152,207191,58,17,6.1,7.458876,10.3181472,711.375155607293,468.6567598432,565.21817511904,410.23818,0.474384412181724,0.119710777970254,0.032297381853512,0.268360714649639,0.0338308058039973,0.0239143350199625,0.0021252284702915,0.0453763440506196,0.103713289394386,0.437517162126342,0.0204913804460486,0.311410254578816,0.230581202848794,14.5884368266854,159.165796541663,223.746738440991,8.77831673688479,68.9440789919427
2004,2439799,198000,56,16,5.9,7.128,8.7832764,635.753675029014,447.8671296,540.14507712,392.04,0.494612206680956,0.104299308754692,0.0332710225914514,0.276594966272076,0.0300232158832134,0.0175238201186222,0.000957671736946694,0.0427177879620414,0.0944703024090617,0.452182187128723,0.0101372781977549,0.352184990870316,0.185495543803205,14.45942093338,159.909248958679,226.691961239569,8.45474653981294,72.3822917640408
2003,2331749,184299,56,16,6.3,6.634764,8.3942964,612.987906956685,416.8760814048,502.76867458656,364.91202,0.510935170479987,0.105455929778781,0.0297021400768422,0.276846552079787,0.0298790683010027,0.0148762257101027,0.000514014224693813,0.0317908993488035,0.0768832793604422,0.413495621066867,0.00668564386131379,0.386327694707108,0.193491040364711,14.7646231773122,161.368436656771,227.043976991361,8.45994491039153,73.0243343512013
2002,2721470,188489,53,16,5.9,6.785604,9.797292,753.593893853449,426.3536736928,514.19901738016,373.20822,0.50883605476443,0.097922387418538,0.0411855003003361,0.286654751777613,0.0267948042619678,0.0108247078652833,0.000314793078987192,0.0274670005328438,0.0797920017774504,0.344232503521501,0.00394517084387967,0.516160760262757,0.135661565371862,14.583767114783,159.584472055168,228.144587862422,8.28226967809864,76.9185907548177
2001,2519276,172200,49,16,5.5,6.1992,9.0693936,745.970907124682,389.50868544,469.762536768,340.956,0.511161749476085,0.0967770056105139,0.0404844429411785,0.298662228932677,0.0253684841849064,0.0090782926463563,0.000153426109636903,0.018314370098646,0.0680305317958178,0.269208098411071,0.00225525371604305,0.595092260379293,0.133444387493593,14.8721635676059,157.807882764065,228.429787991924,8.31111182299675,82.2514646541177
2000,2645618,203602,44,18,6.9,7.329672,9.5242248,859.189549209504,460.5386026304,555.42736359488,403.13196,0.517060640464044,0.0872916087717434,0.0441499199248063,0.300922156620913,0.026406516730182,0.0072133100696469,8.87136892097762e-05,0.0168671337294547,0.0683190774131177,0.246887609846677,0.00129852001181653,0.646231207980704,0.105582662160802,14.7870289190836,158.253714676807,229.910196365239,8.22195728806981,90.210969107901
1999,2452001,182841,0,16,6.5,6.582276,8.8272036,1369.21551349168,413.5781507232,498.79124265504,362.02518,0.519678734304033,0.0964616453228206,0.0385213435356731,0.316580416051367,0.0117318217284512,0.00667596522166625,5.58658177545293e-05,0.0102942080182346,0.0555473825933285,0.18532300781119,0.00100573267625465,0.693486204700124,0.120185054812431,15.1704869721805,155.113167831733,229.261314504606,8.31738129560718,155.113167831733
1998,2344720,205655,0,16,6.5,7.40358,8.440992,1351.03382075386,465.182396656,561.0279587632,407.1969,0.543608099853888,0.0942080512116919,0.0352785879653266,0.300022093211072,0.012439034805162,0.00604499960083694,6.49800325642792e-05,0.00833415331945855,0.0497227209181864,0.167612575610485,0.00130684788290643,0.709506384885371,0.121574191621238,15.2517631820466,160.056284943033,230.188100869074,8.34145445946282,160.056284943033
1997,2287970,195515,0,16,6.4,7.03854,8.236692,1287.19482173719,442.246170928,533.3659836016,387.1197,0.532518789963729,0.0899300751598549,0.0354335714018622,0.318453427065026,0.0138353961784392,0.00424971020453951,3.36536663799873e-05,0.00554537636016902,0.0452623116329507,0.122516419513404,0.000743525135280268,0.782849353546202,0.0938907018051138,15.3310819360465,156.275701669699,230.458290114587,8.27799349186023,156.275701669699
1996,2174561,217026,0,16,6.9,7.812936,7.8284196,1261.15184132077,490.9030892352,592.04810862144,429.71148,0.554813458628356,0.0851159228053132,0.035156089450184,0.301927998953799,0.0152483793225849,0.00391951725297513,2.24185924860351e-05,0.00379621499430194,0.0428942402899471,0.0885017421602788,0.000522648083623693,0.819599303135889,0.0913763066202091,15.3480047775735,161.099162507943,231.626815867956,8.29452187379017,161.099162507943
1995,2287968,198616,0,16,6.7,7.150176,8.2366848,1338.05231729879,449.2604940032,541.82552847104,393.25968,0.558110323596103,0.0791796144280284,0.041527877581766,0.296875391322608,0.0175312528295635,0.00387228771290358,1.34855790996642e-05,0.00288976694992804,0.0483034178236972,0.059825310094524,0.000279184780441112,0.859729589598373,0.0801659155266621,15.2055459483238,162.45034862798,232.448105651989,8.27726372326141,162.45034862798
1994,2351794,198456,0,17,6.6,7.144416,8.4664584,1387.38789350215,448.8985811712,541.38904760064,392.94288,0.568788814406969,0.0706339050570746,0.0395138978567208,0.295840621734894,0.0197618404730319,0.00366865850365692,1.36963250803192e-05,0.00177856564257287,0.0449748183280309,0.0395458104933438,0.000304533194118159,0.878578265030888,0.0815713912816497,15.2917677657518,163.868742743973,233.797368160681,8.29924253410288,163.868742743973
1993,1922168,194170,0,16,6.5,6.99012,6.9198048,1133.56377032606,439.203841184,529.6968162848,384.4566,0.57442039671581,0.0641504562896784,0.0370820930259848,0.300216312209318,0.0197536466013949,0.00319774378151293,5.86741978259254e-06,0.00117348395651851,0.0414591881837989,0.0283045570336824,0.000141522785168412,0.894424002264365,0.0771299179167846,15.369357389689,163.814414291868,234.845266389384,8.2912696166305,163.814414291868
1992,1938840,194170,0,16,5.9,6.99012,6.979824,1136.66525097726,439.203841184,529.6968162848,384.4566,0.567955360701475,0.0632338964343747,0.0357079896986234,0.30428917435693,0.0252935585737499,0.00298540638317442,7.66471471931815e-06,0.000526949136953123,0.0392280099334703,0.0134329816334506,0.000195388823759281,0.91026768268855,0.0761039468542399,15.436730471647,162.850130745025,234.599630278264,8.30108060874474,162.850130745025
1991,1955513,194170,0,16,6.4,6.99012,7.0398468,1184.38427957659,439.203841184,529.6968162848,384.4566,0.587952414211617,0.0692719007980581,0.0302468216983256,0.281285900210296,0.0282430890306132,0.00280713405162379,1.90831682639278e-06,0.000190831682639278,0.0332466957494151,0.00573986913098381,5.73986913098381e-05,0.909769257260934,0.0844334749167719,15.5371780736873,168.240064482169,233.972794481564,8.33311011620046,168.240064482169
1990,1731190,194170,0,16,6.7,6.99012,6.232284,1040.41706536308,439.203841184,529.6968162848,384.4566,0.588399636049247,0.0677688384156816,0.0327234767113048,0.287875984913411,0.0203872828659989,0.00270886582525078,1.88771137648138e-06,0.000134027507730178,0.0355682577556622,0.00376817747585182,5.30729221950961e-05,0.92001910625199,0.0761596433499628,15.4768151301211,166.939931710924,234.545588417659,8.30710646428192,166.939931710924
